r_id,p_id,rating,report_date,comment,student_year,student_semester,student_workterm_number
53,2,3.8,2024-04-05,NULL,NULL,NULL,3
54,25,2.5,2024-04-05,NULL,NULL,NULL,NULL
55,27,2.4,2024-04-05,NULL,NULL,NULL,5
56,29,2.3,2024-04-05,NULL,NULL,NULL,NULL
57,11,2.1,2024-04-05,NULL,NULL,NULL,NULL
58,19,3.9,2024-04-05,NULL,NULL,NULL,NULL
59,11,4.4,2024-04-05,NULL,NULL,NULL,NULL
60,26,2.7,2024-04-05,NULL,NULL,NULL,6
61,23,2.6,2024-04-05,NULL,NULL,NULL,NULL
62,20,2.5,2024-04-05,NULL,NULL,NULL,4
63,18,4.3,2024-04-05,NULL,NULL,NULL,6
64,11,4.3,2024-04-05,NULL,NULL,NULL,NULL
65,29,2.3,2024-04-05,NULL,NULL,NULL,5
66,18,3.4,2024-04-05,NULL,NULL,NULL,4
67,5,4.2,2024-04-05,NULL,NULL,NULL,2
68,9,3.5,2024-04-05,NULL,NULL,NULL,NULL
69,9,4.2,2024-04-05,NULL,NULL,NULL,3
70,7,2.8,2024-04-05,NULL,NULL,NULL,6
71,27,4.4,2024-04-05,NULL,NULL,NULL,4
72,20,2.1,2024-04-05,NULL,NULL,NULL,5
73,9,4.7,2024-04-05,NULL,NULL,NULL,4
74,17,2.1,2024-04-05,NULL,NULL,NULL,5
75,28,3.8,2024-04-05,NULL,NULL,NULL,2
76,14,2.3,2024-04-05,NULL,NULL,NULL,6
77,5,4.8,2024-04-05,NULL,NULL,NULL,2
78,5,3.5,2024-04-05,NULL,NULL,NULL,1
79,17,4.8,2024-04-05,NULL,NULL,NULL,3
80,7,2.9,2024-04-05,NULL,NULL,NULL,2
81,29,4,2024-04-05,NULL,NULL,NULL,1
82,20,4.2,2024-04-05,NULL,NULL,NULL,2
83,4,2.2,2024-04-05,NULL,NULL,NULL,NULL
84,5,3,2024-04-05,NULL,NULL,NULL,1
85,12,4.2,2024-04-05,NULL,NULL,NULL,NULL
86,10,3,2024-04-05,NULL,NULL,NULL,NULL
87,19,3.4,2024-04-05,NULL,NULL,NULL,NULL
88,19,4.7,2024-04-05,NULL,NULL,NULL,5
89,14,4.4,2024-04-05,NULL,NULL,NULL,2
90,20,4.3,2024-04-05,NULL,NULL,NULL,3
91,9,4.7,2024-04-05,NULL,NULL,NULL,6
92,11,4.2,2024-04-05,NULL,NULL,NULL,NULL
93,18,4.6,2024-04-05,NULL,NULL,NULL,NULL
94,2,3,2024-04-05,NULL,NULL,NULL,NULL
95,13,4,2024-04-05,NULL,NULL,NULL,NULL
96,25,3.5,2024-04-05,NULL,NULL,NULL,3
97,30,3.7,2024-04-05,NULL,NULL,NULL,1
98,10,2.2,2024-04-05,NULL,NULL,NULL,2
99,13,5,2024-04-05,NULL,NULL,NULL,3
100,16,4.2,2024-04-05,NULL,NULL,NULL,4
101,26,2.3,2024-04-05,NULL,NULL,NULL,5
102,29,2.3,2024-04-05,NULL,NULL,NULL,6
103,21,2.2,2024-04-05,NULL,NULL,NULL,NULL
104,23,4.9,2024-04-05,NULL,NULL,NULL,5
105,15,2.8,2024-04-05,NULL,NULL,NULL,NULL
106,25,3.7,2024-04-05,NULL,NULL,NULL,NULL
107,22,4.1,2024-04-05,NULL,NULL,NULL,1
108,19,4.3,2024-04-05,NULL,NULL,NULL,6
109,14,4.4,2024-04-05,NULL,NULL,NULL,4
110,30,2.6,2024-04-05,NULL,NULL,NULL,NULL
111,20,2.9,2024-04-05,NULL,NULL,NULL,3
112,19,3.3,2024-04-05,NULL,NULL,NULL,NULL
113,27,2.6,2024-04-05,NULL,NULL,NULL,3
114,20,3.1,2024-04-05,NULL,NULL,NULL,3
115,15,4.3,2024-04-05,NULL,NULL,NULL,1
116,19,5,2024-04-05,NULL,NULL,NULL,2
117,25,2.6,2024-04-05,NULL,NULL,NULL,3
118,24,2.3,2024-04-05,NULL,NULL,NULL,2
119,11,2.9,2024-04-05,NULL,NULL,NULL,3
120,22,2.8,2024-04-05,NULL,NULL,NULL,4
121,20,2.3,2024-04-05,NULL,NULL,NULL,3
122,25,4.8,2024-04-05,NULL,NULL,NULL,NULL
123,19,4.6,2024-04-05,NULL,NULL,NULL,4
124,17,2.3,2024-04-05,NULL,NULL,NULL,NULL
125,15,2.2,2024-04-05,NULL,NULL,NULL,NULL
126,18,4.9,2024-04-05,NULL,NULL,NULL,2
127,13,3.7,2024-04-05,NULL,NULL,NULL,NULL
128,18,3.1,2024-04-05,NULL,NULL,NULL,NULL
129,6,3.3,2024-04-05,NULL,NULL,NULL,NULL
130,25,3.5,2024-04-05,NULL,NULL,NULL,NULL
131,4,2.6,2024-04-05,NULL,NULL,NULL,NULL
132,18,3.1,2024-04-05,NULL,NULL,NULL,3
133,23,4,2024-04-05,NULL,NULL,NULL,NULL
134,13,4.6,2024-04-05,NULL,NULL,NULL,3
135,2,3.3,2024-04-05,NULL,NULL,NULL,NULL
136,28,3.7,2024-04-05,NULL,NULL,NULL,NULL
137,5,2.3,2024-04-05,NULL,NULL,NULL,2
138,30,4.2,2024-04-05,NULL,NULL,NULL,3
139,5,3.9,2024-04-05,NULL,NULL,NULL,NULL
140,30,4.1,2024-04-05,NULL,NULL,NULL,NULL
141,18,3,2024-04-05,NULL,NULL,NULL,NULL
142,16,2.1,2024-04-05,NULL,NULL,NULL,3
143,21,2.5,2024-04-05,NULL,NULL,NULL,4
144,5,4.3,2024-04-05,NULL,NULL,NULL,NULL
145,14,4.4,2024-04-05,NULL,NULL,NULL,4
146,19,2,2024-04-05,NULL,NULL,NULL,NULL
147,2,4.6,2024-04-05,NULL,NULL,NULL,4
148,7,4.2,2024-04-05,NULL,NULL,NULL,1
149,19,4.6,2024-04-05,NULL,NULL,NULL,NULL
